Name,Price,Rate,Rating_pop
"레노버 노트북 V14-ARE 82DQ003AKR (R5-4500U 35.56cm), 윈도우 미포함, 256GB, 4GB","469,000",4.5,207
"삼성전자 Plus 2 미스틱그레이 노트북 NT550XDZ-AD1AG (셀러론 6305 39.6cm), 포함, 256GB, 8GB","747,000",5.0,120
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 256GB, 스페이스 그레이","1,184,630",5.0,796
"LG전자 2020 그램15 터치 노트북 15ZD90N-HX56K (i5-1035G7 아이스레이크 39.6cm), 256GB, 8GB, Free DOS","1,449,000",4.5,147
"이태원클라쓰북 그램스타일 노트북 풀패키지미개봉 NB141LTN41 8세대 14 IPS FHD 윈10탑재, 화이트, NB133LTN40 [SDD256G+32G]","419,000",4.5,219
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD3AS (i3-10110U), 윈도우 미포함, 256GB, 16GB","688,000",5.0,138
"삼성전자 갤럭시북 플렉스 알파 노트북 NT750QCR-A38A (i3-10110U 39.6cm WIN10 Home), 윈도우 포함, 256GB, 16GB","1,469,000",5.0,263
"삼성전자 갤럭시북 이온 아우라실버 NT950XCR-A58A (i5-10210U 39.6cm), 미포함, NVMe 256GB, 16GB","1,449,000",4.5,253
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm), 포함, 256GB, 16GB","1,061,000",5.0,295
"삼성전자 퓨어 화이트 노트북 NT350XCR-AD5WA-X (i5-10210U 39.6cm), 윈도우 포함, 256GB, 16GB","1,066,000",5.0,304
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm ), 윈도우 미포함, 256GB, 16GB","890,000",5.0,295
"LG전자 그램16 옵시디안 블랙 노트북 16Z90P-GA7LK (i7-1165G7 40.6cm WIN10 Home), 포함, NVMe 512GB, 16GB","2,329,000",5.0,160
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDA-K78AW (i7-1165G7 39.6cm WIN10 Home), 포함, 256GB, 8GB","1,348,000",5.0,801
"Apple 2020년 맥북 프로 터치바 13, 10세대 i5, 16GB, SSD 512GB, 실버","2,312,200",5.0,946
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDZ-AD5AW (i5-1135G7), WIN미포함, RAM 8GB + RAM 8GB + SSD 256GB","1,009,000",5.0,147
"Apple 2019년 맥북 프로 터치바 16, 9세대 i9, 32GB, SSD 1TB, 실버, AMD Radeon Pro 5600M 8GB","5,445,000",5.0,1679
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD3AS (i3-10110U), 윈도우 포함, 256GB, 8GB","828,000",5.0,138
"Apple 2020 맥북 에어 13, 10세대 i5-1.1GHz quad-core, 16GB, SSD 512GB, 실버","1,832,000",5.0,1080
"Apple 2019년 맥북 프로 터치바 16, 9세대 i7, 32GB, SSD 1TB, 실버, AMD Radeon Pro 5300M","4,000,000",5.0,1679
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 512GB, 골드","1,804,560",5.0,796
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 256GB, 실버","1,480,180",5.0,796
"Apple 2020년 맥북 프로 터치바 13, 10세대 i7, 32GB, SSD 1TB, 스페이스 그레이","3,494,400",5.0,946
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 256GB, 실버","1,586,800",5.0,566
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 256GB, 스페이스 그레이","1,480,180",5.0,796
"삼성전자 퓨어 화이트 노트북 NT350XCR-AD5WA-X (i5-10210U 39.6cm), 윈도우 포함, 256GB, 16GB","1,066,000",5.0,304
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 256GB, 실버","1,586,800",5.0,566
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDZ-AD5AW (i5-1135G7), WIN미포함, RAM 8GB + RAM 8GB + SSD 256GB","1,009,000",5.0,147
"삼성전자 갤럭시북 이온 아우라실버 NT950XCR-A58A (i5-10210U 39.6cm), 포함, NVMe 256GB, 8GB","1,599,000",4.5,253
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 512GB, 스페이스 그레이","1,762,000",5.0,566
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 512GB, 골드","1,537,800",5.0,796
"삼성전자 2020 갤럭시북 플렉스 NT950QCG-X716A (i7-1065G7 39.6cm MX250), 1TB, 16GB, WIN10 Home","2,448,000",5.0,244
"한성컴퓨터 노트북 올데이롱 블랙 TFX255S (i5-10210U 39.62cm WIN미포함), 미포함, SSD 500GB, 8GB","799,000",5.0,126
