Name,Price,Rate,Rating_pop
"삼성전자 노트북9 METAL NT901X5L 가볍고 슬림한 1.29kg 코어i5 SSD256GB 윈10 탑재, 포함, SSD 256GB, 8GB","669,000",4.5,496
"삼성전자 퓨어 화이트 노트북 NT350XCR-AD5WA-X16G (i5-10210U 39.6cm), 윈도우 미포함, 256GB, 16GB","867,000",5.0,306
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm), 포함, 256GB, 16GB","1,079,000",5.0,294
"삼성전자 플러스 퓨어 화이트 노트북 NT350XCR-AD3AW (i3-10110U), 미포함, 256GB, 16GB, WIN미설치,  RAM 8GB + RAM 8GB + SSD 256GB","680,000",5.0,427
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm ), 윈도우 미포함, 256GB, 16GB","899,000",5.0,294
"LG전자 울트라PC 화이트 노트북 15UD40N-GX56K (라이젠5-4500U 39.6cm), 윈도우 미포함, 256GB, 8GB","842,880",5.0,102
"LG전자 울트라PC 노트북 15U40N-GR56K (라이젠5-4500U 39.6cm WIN10 Home), 윈도우 포함, 256GB, 8GB","999,000",5.0,151
"레노버 노트북 V14-ARE 82DQ003AKR (R5-4500U 35.56cm), 윈도우 미포함, 256GB, 4GB","469,000",4.5,207
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD3AS (i3-10110U), 윈도우 미포함, 256GB, 16GB","688,000",5.0,138
"삼성전자 퓨어 화이트 노트북 NT350XCR-AD5WA-X (i5-10210U 39.6cm), 윈도우 포함, 256GB, 16GB","1,066,000",5.0,306
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 256GB, 스페이스 그레이","1,586,800",5.0,569
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 256GB, 골드","1,252,000",5.0,804
"삼성전자 Plus 2 퓨어화이트 노트북 NT550XDZ-AD1AW (셀러론 6305 39.6cm), 포함, 256GB, 8GB","747,000",4.5,162
"이태원클라쓰북 그램스타일 노트북 풀패키지미개봉 NB141LTN41 8세대 14 IPS FHD 윈10탑재, 화이트, NB133LTN40 [32G+SD64G]","339,000",4.5,219
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 256GB, 골드","1,480,180",5.0,804
"삼성전자 갤럭시북 플렉스 알파 노트북 NT750QCR-A38A (i3-10110U 39.6cm WIN10 Home), 윈도우 포함, 256GB, 8GB","1,429,000",5.0,263
"삼성전자 갤럭시북 플렉스 알파 노트북 NT750QCR-A38A (i3-10110U 39.6cm WIN10 Home), 윈도우 포함, 256GB, 16GB","1,469,000",5.0,263
"삼성전자 Plus 2 미스틱그레이 노트북 NT550XDZ-AD1AG (셀러론 6305 39.6cm), 미포함, 256GB, 8GB","568,000",5.0,121
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD3AS (i3-10110U), 윈도우 포함, 256GB, 8GB","828,000",5.0,138
"Apple 2020년 맥북 프로 터치바 13, 10세대 i7, 16GB, SSD 512GB, 스페이스 그레이","2,760,000",5.0,946
"삼성전자 갤럭시북 이온 아우라실버 NT950XCR-A58A (i5-10210U 39.6cm), 미포함, NVMe 256GB, 16GB","1,449,000",4.5,253
"삼성전자 2020 갤럭시북 플렉스 NT950QCG-X716A (i7-1065G7 39.6cm MX250), 1TB, 16GB, WIN10 Home","2,448,000",5.0,244
"LG전자 2020 그램15 터치 노트북 15ZD90N-HX56K (i5-1035G7 아이스레이크 39.6cm), 256GB, 8GB, Free DOS","1,449,000",4.5,147
"이태원클라쓰북 그램스타일 노트북 풀패키지미개봉 NB141LTN41 8세대 14 IPS FHD 윈10탑재, 화이트, NB133LTN40 [32G+SD64G]","339,000",4.5,219
"Apple 2019년 맥북 프로 터치바 16, 9세대 i9, 32GB, SSD 1TB, 실버, 라데온 Pro 5500M","4,230,000",5.0,1679
"Apple 2019년 맥북 프로 터치바 16, 9세대 i7, 32GB, SSD 512GB, 실버, AMD Radeon Pro 5300M","3,730,000",5.0,1679
"삼성전자 갤럭시북 이온 아우라 실버 NT950XCR-G58A (i5-10210U 39.6cm MX250) + UFS 카드 256GB, 미포함, NVMe 256GB, 16GB","1,629,000",5.0,170
"삼성전자 Plus 2 퓨어화이트 노트북 NT550XDZ-AD1AW (셀러론 6305 39.6cm), 포함, 256GB, 8GB","747,000",4.5,162
"Apple 2020년 맥북 프로 터치바 13, 10세대 i7, 32GB, SSD 512GB, 실버","3,300,000",5.0,946
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 16GB, SSD 256GB, 스페이스 그레이","1,920,800",5.0,569
"삼성전자 갤럭시북 이온 아우라실버 NT950XCR-A58A (i5-10210U 39.6cm), 포함, NVMe 256GB, 16GB","1,648,000",4.5,253
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 512GB, 스페이스 그레이","1,762,000",5.0,569
"Apple 2019년 맥북 프로 터치바 16, 9세대 i9, 32GB, SSD 1TB, 실버, AMD Radeon Pro 5500M 8GB","4,585,000",5.0,1679
"Apple 2020년 맥북 프로 터치바 13, 10세대 i5, 32GB, SSD 512GB, 스페이스 그레이","2,980,000",5.0,946
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 256GB, 스페이스 그레이","1,480,180",5.0,804
"Apple 2019년 맥북 프로 터치바 16, 9세대 i7, 32GB, SSD 512GB, 실버, AMD Radeon Pro 5500M 8GB","3,831,500",5.0,1679
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 512GB, 스페이스 그레이","1,762,000",5.0,569
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDA-K78AW (i7-1165G7 39.6cm WIN10 Home), 포함, 256GB, 8GB","1,348,000",5.0,806
"이태원클라쓰북 그램스타일 노트북 풀패키지미개봉 NB141LTN41 8세대 14 IPS FHD 윈10탑재, 화이트, NB133LTN40 [SDD128G+32G]","399,000",4.5,219
"Apple 2020년 맥북 에어 13, M1 8-Core, 16GB, SSD 256GB, 실버","1,480,180",5.0,804
"삼성전자 갤럭시북 이온 아우라 실버 NT950XCR-G58A (i5-10210U 39.6cm MX250) + UFS 카드 256GB, 미포함, NVMe 256GB, 16GB","1,629,000",5.0,170
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 16GB, SSD 256GB, 스페이스 그레이","1,920,800",5.0,569
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD3AS (i3-10110U), 윈도우 포함, 256GB, 16GB","897,000",5.0,138
"삼성전자 Plus 2 미스틱그레이 노트북 NT550XDZ-AD1AG (셀러론 6305 39.6cm), 포함, 256GB, 8GB","747,000",5.0,121
"Apple 2019년 맥북 프로 터치바 13, i5-2.4GHz quad-core, 16GB, SSD 512GB, 스페이스 그레이, Thunderbolt 포트 4개","2,760,000",5.0,1192
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 256GB, 실버","1,586,800",5.0,569
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 512GB, 실버","1,537,800",5.0,804
